"geo","time","measure","value"
"EU27",2011,"Without intensity effect",12569703.625
"EU27",2012,"Without intensity effect",12133418.8645333
"EU27",2013,"Without intensity effect",11945726.0954698
"EU27",2014,"Without intensity effect",12084211.2392853
"EU27",2015,"Without intensity effect",12482063.092037
"EU27",2016,"Without intensity effect",13058743.7756171
"EU27",2017,"Without intensity effect",13086008.9380435
"EU27",2018,"Without intensity effect",12903506.3002349
"EU27",2019,"Without intensity effect",13096333.3825013
"EU27",2020,"Without intensity effect",12399670.2306183
"EU27",2021,"Without intensity effect",12066560.8038585
"EU27",2011,"Actual energy consumption",12569703.625
"EU27",2012,"Actual energy consumption",12308746.486
"EU27",2013,"Actual energy consumption",12112896.447
"EU27",2014,"Actual energy consumption",11908531.074
"EU27",2015,"Actual energy consumption",12017497.754
"EU27",2016,"Actual energy consumption",12188425.228
"EU27",2017,"Actual energy consumption",12300162.177
"EU27",2018,"Actual energy consumption",12379191.017
"EU27",2019,"Actual energy consumption",12211840.374
"EU27",2020,"Actual energy consumption",11709650.28
"EU27",2021,"Actual energy consumption",12144528.555
